team_no	attempt_no	turn_no	event_no	time	subject	verb	object
33	1	11	35	301.240	T	submits	cost=64 (opt_cost=22)
33	1	11	36	301.427	R	shows	talking emotion
33	1	11	37	301.427	R	shows	up_left gesture
33	1	11	38	301.516	R	says	you are not that far from the minimum; the difference is only 42 francs. i am sure you can do it.
33	1	11	39	302.037	B	presses	submit (enabled)
33	1	11	40	310.657	R	shows	talking emotion
33	1	11	41	310.658	R	shows	point_front gesture
33	1	11	42	310.754	R	says	by the way, you guys now also have the button on the bottom of your screen in the abstract view for comparing solutions.
33	2	11	43	321.182	A	presses	help (enabled)
33	2	11	44	324.728	B	presses	compare (enabled)
33	2	11	45	327.994	B	presses	apply (enabled)
33	2	11	46	328.004	B	loads	[(0, 2), (0, 3), (0, 7), (1, 2), (1, 3), (1, 4), (1, 5), (1, 9), (2, 3), (2, 8), (2, 9), (4, 5), (4, 6), (4, 9), (5, 3), (5, 6), (5, 7), (6, 7), (7, 3), (8, 9)]
33	2	11	47	339.604	A	removes	Luzern-Interlaken (1-5)
33	2	11	48	345.139	A	removes	Neuchatel-Bern (7-3)
33	2	12	49	377.936	B	removes	Luzern-Davos (1-9)
33	2	12	50	384.379	B	removes	Zurich-Davos (2-9)
33	2	13	51	389.448	A	removes	Luzern-Bern (1-3)
33	2	13	52	390.064	B	presses	submit (enabled)
33	2	13	53	397.271	A	removes	Interlaken-Bern (5-3)
33	2	14	54	397.303	B	presses	submit (enabled)
33	2	14	55	400.773	A	presses	compare (enabled)
33	2	14	56	402.753	A	presses	apply (enabled)
33	2	14	57	402.763	A	loads	[(0, 2), (0, 3), (0, 7), (1, 2), (1, 3), (1, 4), (1, 5), (1, 9), (2, 3), (2, 8), (2, 9), (4, 5), (4, 6), (4, 9), (5, 3), (5, 6), (5, 7), (6, 7), (7, 3), (8, 9)]
33	2	14	58	404.172	A	presses	apply (enabled)
33	2	14	59	410.886	A	presses	compare (enabled)
33	2	14	60	417.083	B	removes	Zurich-Davos (2-9)
33	2	14	61	421.940	B	removes	Luzern-Zermatt (1-4)
33	2	15	62	427.716	A	removes	Neuchatel-Bern (7-3)
33	2	15	63	433.735	A	removes	Luzern-Interlaken (1-5)
33	2	16	64	440.110	B	removes	Interlaken-Bern (5-3)
33	2	16	65	443.976	B	removes	Luzern-Zurich (1-2)
33	2	17	66	448.074	A	presses	submit (enabled)
33	2	17	67	448.125	T	submits	cost=42 (opt_cost=22)
33	2	17	68	448.161	B	presses	submit (enabled)
33	2	17	69	448.405	R	shows	talking emotion
33	2	17	70	448.408	R	shows	up_left gesture
33	2	17	71	448.504	R	says	you are not that far from the minimum; the difference is only 20 francs. i am sure you can do it.
33	2	17	72	458.970	R	shows	observe gesture
33	3	17	73	474.726	B	presses	compare (enabled)
33	3	17	74	478.141	B	presses	previous (enabled)
33	3	17	75	478.458	A	adds	Gallen-Davos (8-9)
33	3	17	76	479.463	B	presses	compare (enabled)
33	3	17	77	479.496	B	presses	next (enabled)
33	3	17	78	480.034	A	adds	Zurich-Gallen (2-8)
33	3	18	79	492.063	B	adds	Luzern-Zurich (1-2)
33	3	18	80	496.536	B	adds	Basel-Zurich (0-2)
33	3	19	81	511.816	A	adds	Basel-Bern (0-3)
33	3	19	82	514.116	A	adds	Basel-Neuchatel (0-7)
33	3	20	83	542.938	B	adds	Zermatt-Davos (4-9)
33	3	20	84	550.022	B	adds	Zermatt-Montreux (4-6)
33	3	21	85	552.761	A	adds	Interlaken-Montreux (5-6)
33	3	21	86	554.130	A	adds	Interlaken-Neuchatel (5-7)
33	3	22	87	556.365	A	presses	submit (enabled)
33	3	22	88	563.963	T	submits	cost=31 (opt_cost=22)
33	3	22	89	564.196	R	shows	talking emotion
33	3	22	90	564.197	R	shows	up_left gesture
33	3	22	91	564.255	R	says	you are not that far from the minimum; the difference is only 9 francs. i am sure you can do it.
33	3	22	92	564.729	B	presses	submit (enabled)
33	4	22	93	587.307	B	adds	Basel-Zurich (0-2)
33	4	22	94	588.636	B	adds	Basel-Bern (0-3)
33	4	23	95	607.774	A	adds	Basel-Neuchatel (0-7)
33	4	23	96	610.409	A	adds	Montreux-Neuchatel (6-7)
33	4	24	97	639.836	B	adds	Neuchatel-Bern (7-3)
33	4	24	98	640.903	B	removes	Basel-Neuchatel (0-7)
33	4	25	99	651.540	A	adds	Zermatt-Montreux (4-6)
33	4	25	100	658.895	A	adds	Zermatt-Davos (4-9)
33	4	26	101	675.568	B	adds	Luzern-Zermatt (1-4)
33	4	26	102	702.633	B	adds	Interlaken-Bern (5-3)
33	4	27	103	710.777	A	adds	Luzern-Bern (1-3)
33	4	27	104	722.611	A	adds	Zurich-Gallen (2-8)
33	4	28	105	729.324	B	adds	Gallen-Davos (8-9)
33	4	28	106	730.305	A	presses	submit (enabled)
33	4	28	107	730.549	T	submits	cost=35 (opt_cost=22)
33	4	28	108	730.732	R	shows	talking emotion
33	4	28	109	730.732	R	shows	up_left gesture
33	4	28	110	730.833	R	says	you are away from the minimum by 13 francs. let's try again.
33	4	28	111	731.323	B	presses	submit (enabled)
33	5	28	112	767.058	B	adds	Zurich-Gallen (2-8)
33	5	28	113	767.935	B	adds	Basel-Zurich (0-2)
33	5	29	114	779.692	A	adds	Gallen-Davos (8-9)
33	5	29	115	788.262	A	adds	Zermatt-Davos (4-9)
33	5	30	116	797.093	B	adds	Luzern-Zermatt (1-4)
33	5	30	117	812.846	B	adds	Zermatt-Interlaken (4-5)
33	5	31	118	886.640	A	adds	Interlaken-Neuchatel (5-7)
33	5	31	119	888.757	A	adds	Interlaken-Montreux (5-6)
33	5	32	120	901.737	B	adds	Luzern-Bern (1-3)
33	5	32	121	909.061	A	presses	submit (enabled)
33	5	32	122	909.066	B	adds	Basel-Neuchatel (0-7)
33	5	33	123	909.772	A	presses	submit (enabled)
33	5	33	124	938.970	R	shows	observe gesture
33	5	33	125	938.987	R	says	so guys,..you have 5 more minutes to find the best solution. you can do it!
33	5	33	126	948.376	B	presses	submit (enabled)
33	5	33	127	952.275	B	presses	submit (selected)
33	5	33	128	953.143	B	presses	submit (enabled)
33	5	33	129	955.629	A	presses	submit (enabled)
33	5	33	130	955.672	T	submits	cost=32 (opt_cost=22)
33	5	33	131	956.105	R	shows	talking emotion
33	5	33	132	956.106	R	shows	up_left gesture
33	5	33	133	956.245	R	says	you are not that far from the minimum; the difference is only 10 francs. i am sure you can do it.
33	5	33	134	965.271	R	shows	talking emotion
33	5	33	135	965.274	R	shows	up_right gesture
33	5	33	136	965.811	R	says	hey guys, maybe, it would be easier to solve the problem if you look at your previous solutions more.
33	6	33	137	978.693	B	presses	compare (enabled)
33	6	33	138	980.151	A	presses	help (enabled)
33	6	33	139	982.658	B	presses	apply (enabled)
33	6	33	140	982.668	B	loads	[(0, 2), (0, 7), (1, 3), (1, 4), (2, 8), (4, 5), (4, 9), (5, 6), (5, 7), (8, 9)]
33	6	33	141	1009.054	A	removes	Zermatt-Interlaken (4-5)
33	6	33	142	1021.785	A	adds	Zermatt-Interlaken (4-5)
33	6	34	143	1039.975	B	adds	Basel-Bern (0-3)
33	6	34	144	1041.025	B	removes	Basel-Neuchatel (0-7)
33	6	35	145	1061.514	A	removes	Gallen-Davos (8-9)
33	6	35	146	1106.337	A	adds	Basel-Neuchatel (0-7)
33	6	36	147	1116.873	B	removes	Basel-Bern (0-3)
33	6	36	148	1133.680	A	presses	submit (enabled)
33	6	36	149	1133.794	T	submits	cost=30 (opt_cost=22)
33	6	36	150	1134.013	R	shows	talking emotion
33	6	36	151	1134.015	R	shows	up_left gesture
33	6	36	152	1134.142	R	says	you are not that far from the minimum; the difference is only 8 francs. i am sure you can do it.
33	6	36	153	1134.539	B	presses	submit (enabled)
33	7	36	154	1150.622	B	adds	Zermatt-Interlaken (4-5)
33	7	36	155	1151.546	B	adds	Zermatt-Montreux (4-6)
33	7	37	156	1153.201	A	adds	Luzern-Zermatt (1-4)
